building,amenity,office,shop,tourism,name,height_m,height_source,area_m2,wkt
school,,,,,,14.0,levels_x3.5,2364.3,"POLYGON ((359436.8409229204 3465704.115963807, 359440.5598723525 3465703.9219874023, 359439.38847848756 3465688.9594812705, 359435.24991358304 3465689.0925618866, 359434.86947227863 3465682.722776699, 359381.8758011343 3465683.643897036, 359381.02078291087 3465690.8617554894, 359369.5967204622 3465691.3919010856, 359369.4042612804 3465705.4303197656, 359373.22283285775 3465705.5675862194, 359374.1507452609 3465725.078926562, 359363.7616185638 3465725.4178135945, 359364.6366491715 3465733.1778974733, 359374.49523398856 3465733.0235137404, 359376.7789962303 3465732.981801525, 359404.67036536685 3465732.541295369, 359404.8194284277 3465743.6593155456, 359407.2367182933 3465742.928440575, 359407.348313163 3465732.0840947987, 359407.4784705563 3465724.7540026414, 359407.44715856004 3465716.029143889, 359434.90468299144 3465715.8827926004, 359434.8836395704 3465708.6323359637, 359436.9834765035 3465708.3602806386, 359436.8409229204 3465704.115963807), (359376.91962144524 3465706.560167618, 359398.8584570498 3465705.833610698, 359398.8892672034 3465724.45895167, 359377.58895776165 3465724.5339158475, 359376.91962144524 3465706.560167618))"
yes,,,,,18#,10.5,default,1637.3,"MULTIPOLYGON (((357748.43467521004 3464114.6917895842, 357751.2213441408 3464107.480837911, 357675.08825410006 3464078.3349292045, 357672.30147705326 3464085.5348176467, 357748.43467521004 3464114.6917895842)), ((357728.5758881598 3464135.6823102105, 357733.568005707 3464123.330424204, 357663.36088840273 3464095.2351119593, 357658.3688362861 3464107.5870334147, 357728.5758881598 3464135.6823102105)))"
yes,,,,,19#,10.5,default,1357.2,"MULTIPOLYGON (((357808.65176693146 3464137.6013598363, 357811.77305281453 3464129.088733613, 357761.34745320526 3464110.7915623076, 357758.2262010579 3464119.3042046065, 357808.65176693146 3464137.6013598363)), ((357799.5860945016 3464164.0664976398, 357804.6672968927 3464151.2588815917, 357745.7995458738 3464128.1647408092, 357740.727768374 3464140.9611733407, 357799.5860945016 3464164.0664976398)))"
yes,,,,attraction,上海体育学院办公楼,10.5,default,2440.9,"POLYGON ((359239.59244888846 3465493.042195251, 359239.379643033 3465470.095452245, 359262.3443886186 3465469.887029362, 359262.15701814904 3465467.2730680867, 359291.0165214598 3465467.2849468943, 359311.53284149495 3465466.909920857, 359311.5838453797 3465469.2928898116, 359335.56893712364 3465469.2261540457, 359335.7720159433 3465492.173018995, 359310.89435731404 3465492.395858626, 359310.9541345834 3465494.723276176, 359264.75993311225 3465495.265471531, 359264.6985093055 3465492.8161214506, 359239.59244888846 3465493.042195251))"
yes,,,,,,10.5,default,2818.3,"POLYGON ((359846.89445336437 3466166.842717013, 359846.1475216298 3466110.9644356854, 359889.035846772 3466110.391234155, 359889.7961774807 3466167.2893082267, 359882.7719595947 3466176.5297370153, 359867.46488061536 3466177.74320305, 359847.03032765177 3466177.007443496, 359846.89445336437 3466166.842717013))"
yes,,,supermarket,,欧尚中原店,10.5,default,13029.4,"POLYGON ((359942.95989729615 3465612.785621804, 359943.7003320891 3465573.4400224783, 359942.0151852812 3465573.4070944167, 359942.1874690767 3465564.213896359, 359943.8726173547 3465564.2468245015, 359944.97076200374 3465506.071189542, 359947.5870545489 3465505.9808163266, 359948.1510026789 3465501.8822831353, 359948.1285871678 3465498.778299163, 360059.4552210013 3465500.3521240344, 360063.34449861466 3465504.3579665856, 360063.0344394847 3465511.080656328, 360064.5291175524 3465511.105059062, 360064.4228502563 3465516.6941840528, 360062.35688901437 3465516.655230891, 360058.1202852589 3465516.5787226516, 360056.2719816385 3465614.8760864893, 359942.95989729615 3465612.785621804))"
yes,,,,,,10.5,default,1569.8,"POLYGON ((357972.01047911646 3465151.7283422626, 357971.61620830605 3465109.95852814, 358009.1909079995 3465109.5939271557, 358009.59454599716 3465151.3636083645, 357972.01047911646 3465151.7283422626))"
yes,,,,,,10.5,default,3759.8,"POLYGON ((358031.4852699461 3465291.1492853235, 358031.8435223845 3465242.373501298, 358109.4433825996 3465241.3234091024, 358108.0664782061 3465290.1129534333, 358031.4852699461 3465291.1492853235))"
yes,,,,,,10.5,default,10715.6,"POLYGON ((358031.1587247243 3464192.982550457, 358081.02033582714 3464076.750260343, 358158.1732553417 3464108.90087792, 358105.8979168858 3464229.012535237, 358031.1587247243 3464192.982550457))"
yes,,,,,第一食品商店,10.5,default,4844.0,"POLYGON ((358108.93626479444 3464017.2468190603, 358191.0128056209 3464048.111565382, 358166.12621244637 3464099.347418848, 358085.39033808536 3464065.5267461385, 358105.59953664424 3464023.2233782946, 358108.93626479444 3464017.2468190603))"
yes,,,,,巴黎春天百货,10.5,default,6740.8,"POLYGON ((358158.08892043063 3464161.1097494983, 358207.2290189386 3464054.0677608126, 358233.6814997054 3464064.453432401, 358240.2635753861 3464071.0941873197, 358245.944060704 3464078.6451565134, 358249.8134694583 3464090.954655424, 358250.06156016665 3464100.862896277, 358248.5764797321 3464107.202431007, 358243.29785959335 3464118.8261835678, 358211.4150147142 3464184.90189469, 358158.08892043063 3464161.1097494983))"
yes,,,,,,10.5,default,7194.6,"POLYGON ((358137.83387780277 3464202.1275786557, 358193.1036792932 3464226.059645715, 358143.9127818656 3464329.266428455, 358140.9779093459 3464331.867161919, 358138.3435551982 3464332.7564653265, 358136.00035029463 3464333.3535757624, 358132.4278003865 3464333.1468863594, 358124.90499065304 3464330.144306917, 358087.2941009608 3464316.073823169, 358137.83387780277 3464202.1275786557))"
yes,,,,,百联又一城购物中心,10.5,default,12462.9,"POLYGON ((358240.90228145 3464301.5578401946, 358328.3709817893 3464118.608454628, 358334.1920417169 3464118.9511570698, 358338.29534576245 3464114.749297737, 358354.0280008955 3464109.5811053156, 358364.8362427926 3464109.8454138017, 358374.0219010974 3464112.6150746825, 358376.14705295715 3464116.311550097, 358393.1543788521 3464113.1883541867, 358291.6125270835 3464325.5630855346, 358240.90228145 3464301.5578401946))"
yes,,,,,沪东金融大厦,87.5,levels_x3.5,2754.5,"POLYGON ((358411.0865333633 3464147.5592982844, 358418.2547812171 3464144.0367527236, 358425.1694224669 3464122.4240031214, 358441.54386437824 3464114.021029951, 358470.6187567584 3464123.363003158, 358475.4376994049 3464124.9277599305, 358469.5654061332 3464137.7235066695, 358478.388616981 3464159.500888448, 358472.0910607631 3464162.645784214, 358474.66684290493 3464167.2896624077, 358451.28841010004 3464177.27270322, 358446.8091572571 3464169.838467231, 358430.4474745492 3464165.0701652896, 358423.5807595226 3464167.6573445573, 358411.0865333633 3464147.5592982844))"
